row_number,market_area,company_name,generator_name,dispatch_type,generation_source,generation_form,fuel_type,capacity_mw
11799,제주,산하 태양광발전소,산하태양광,비중앙,신재생에너지,태양광,태양광,0.099
11800,비수도권,(주)지엔씨에너지,순천매립가스발전소 가스엔진발전기,비중앙,신재생에너지,내연,매립가스,0.3
11801,비수도권,희망태양광발전소,희망태양광발전기,비중앙,신재생에너지,태양광,태양광,0.099
11802,비수도권,삼성솔라이엔에스주식회사,삼성솔라ENS,비중앙,신재생에너지,태양광,태양광,2.002
11803,제주,영화에너지,영화에너지,비중앙,신재생에너지,태양광,태양광,0.1
11804,제주,금한1호 태양광발전소,금한1호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11805,비수도권,순천시청,순천만ECO태양광,비중앙,신재생에너지,태양광,태양광,0.611
11806,비수도권,금강태양광발전소,금강태양광,비중앙,신재생에너지,태양광,태양광,0.097
11807,비수도권,한국동서발전(주),울산#4CC건물옥상태양광,비중앙,신재생에너지,태양광,태양광,0.404
11808,비수도권,한국남부발전(주),부산수처리건물태양광발전소,비중앙,신재생에너지,태양광,태양광,0.111
11809,제주,(주)오뚜기,(주)오뚜기 에코센터 태양광발전소,비중앙,신재생에너지,태양광,태양광,0.3
11810,비수도권,지효1호태양광발전소,지효1호태양광발전기,비중앙,신재생에너지,태양광,태양광,0.099
11811,비수도권,한빛태양광발전소,한빛태양광발전기,비중앙,신재생에너지,태양광,태양광,0.1
11812,비수도권,해성2호태양광발전소,해성2호태양광발전기,비중앙,신재생에너지,태양광,태양광,0.099
11813,비수도권,해성1호태양광발전소,해성1호태양광발전기,비중앙,신재생에너지,태양광,태양광,0.099
11814,비수도권,송옥순태양광발전소,송옥순태양광발전기,비중앙,신재생에너지,태양광,태양광,0.495
11815,비수도권,내동태양광발전소,내동태양광발전기,비중앙,신재생에너지,태양광,태양광,0.894
11816,비수도권,주식회사 윤성에너지,윤성에너지태양광,비중앙,신재생에너지,태양광,태양광,0.494
11817,비수도권,케이솔라이호 주식회사,미화에너지태양광,비중앙,신재생에너지,태양광,태양광,0.494
11818,비수도권,케이솔라일호 주식회사,케이솔라일호(주)태양광,비중앙,신재생에너지,태양광,태양광,0.494
11819,비수도권,대리은하1호2호태양광발전소,대리은하1호_태양광,비중앙,신재생에너지,태양광,태양광,0.099
11820,비수도권,주식회사 청명해,청명해태양광발전기,비중앙,신재생에너지,태양광,태양광,1.891
11821,제주,정진햇빛발전주식회사,정진햇빛발전소,비중앙,신재생에너지,태양광,태양광,0.497
11822,제주,명도햇빛발전소,명도햇빛발전소,비중앙,신재생에너지,태양광,태양광,0.497
11823,비수도권,한국남부발전(주),부산발전본부1400kWp발전기,비중앙,신재생에너지,태양광,태양광,1.4
11824,비수도권,판곡태양광발전소,판곡태양광,비중앙,신재생에너지,태양광,태양광,0.295
11825,비수도권,한국서부발전(주),태안부지 태양광 2단계(건축물),비중앙,신재생에너지,태양광,태양광,1.721
11826,비수도권,한국서부발전(주),태안부지 태양광 2단계(대지),비중앙,신재생에너지,태양광,태양광,8.267
11827,비수도권,주식회사 지티씨솔라2호,지티씨솔라2호,비중앙,신재생에너지,태양광,태양광,1.995
11828,비수도권,충청에너지서비스(주),W-SCOPE태양광,비중앙,신재생에너지,태양광,태양광,0.62
11829,비수도권,(주)낙동에너지(지점),낙동에너지2호,비중앙,신재생에너지,태양광,태양광,0.498
