date,iteration,mae,rmse,mean_model,mean_actual
2024-06-21,13,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,14,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,15,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-08-20,1,101099.39427527082,102563.98195159312,56255.18905806248,157354.58333333334
2024-08-20,2,86510.48722441668,87629.48698467719,70844.09610891667,157354.58333333334
2024-08-20,3,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,4,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,5,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,6,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,7,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,8,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,9,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,10,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,11,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,12,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,13,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,14,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-08-20,15,85774.26682603601,86967.87143582234,71580.31650729735,157354.58333333334
2024-09-11,1,94537.02902258335,94658.25347713148,55834.63764408333,150371.66666666666
2024-09-11,2,82055.79437883335,82257.66619870858,68315.87228783332,150371.66666666666
2024-09-11,3,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,4,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,5,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,6,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,7,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,8,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,9,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,10,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,11,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,12,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,13,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,14,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-09-11,15,81388.29708314776,81589.27359322153,68983.36958351893,150371.66666666666
2024-10-20,1,69217.79411733335,69691.38482330373,26870.53921600001,96088.33333333333
2024-10-20,2,67190.18786659722,67677.76256000853,28898.145466736107,96088.33333333333
2024-10-20,3,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,4,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,5,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,6,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,7,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,8,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,9,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,10,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,11,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,12,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
